titulo,fecha,descripcion,enlace,version
UI Base,2026-02-26,Creación de UI base inspirada en Apple Music: sidebar con navegación y playlists; barra de búsqueda; reproductor inferior con controles; vistas Home/Search/Library/Favorites; archivo de tema de colores editable.,agent.md,1
general-search,2026-02-26,Buscador de canciones: API routes proxy /api/search y /api/artist; tipos TypeScript; componente SearchResults con tabla interactiva; integración con Player al hacer click en resultado.,prompt/general-search.md,1
general-hacer-sonar-la-musica,2026-02-26,Integración de react-player/youtube en Player.tsx; reproducción real de audio YouTube; controles play/pause/seek/volumen funcionales; auto-play al seleccionar canción; indicador de carga.,prompt/general-hacer-sonar-la-musica.md,1
general-hacer-ui-responsive,2026-02-26,UI responsive: sidebar se convierte en bottom tab bar en móvil; mini-player compacto; SearchResults simplificado; HomeView con grids adaptativos; safe-area iOS; viewport-fit cover.,prompt/general-hacer-ui-responsive.md,1
general-pwa,2026-02-26,PWA: manifest.json con iconos multi-tamaño; service worker con cache-first/network-first; registro del SW via componente cliente; apple-touch-icon; metadata PWA en layout; app instalable.,prompt/general-pwa.md,1
general-home,2026-02-26,Home dinámico: GenreOnboarding para primera visita con 16 géneros; HomeView con datos reales de API por género; historial de reproducción en localStorage (máx 50); saludo según hora del día; chips de género editables; skeletons de carga; secciones por género con thumbnails y overlay de reproducción.,prompt/general-home.md,1
FIX,2026-02-26,Tags personalizados en Home: usuario puede crear tags propios con texto libre; tarjetas de secciones rediseñadas a estilo álbum (cuadradas con sombra y play flotante); tags eliminables en hover; input inline con confirmación.,N/A,1
FIX,2026-02-26,Sidebar con efecto glass: fondo difuminado con carátula de la canción actual; backdrop-blur-xl con overlay semi-transparente; aplica cuando hay track reproduciéndose.,N/A,2
FIX,2026-02-26,Pantalla de Favoritos funcional: guarda Track completos en localStorage; buscador interno con filtrado en tiempo real; grid con thumbnails; botón quitar de favoritos; contador de canciones; estado vacío; botón corazón en SearchResults actualizado.,N/A,3
FIX,2026-02-26,Botón limpiar caché en Sidebar: elimina todos los caches del service worker; desregistra service workers; recarga la página forzadamente; estado loading con spinner; confirmación antes de limpiar; útil para resolver problemas de vistas cacheadas en PWA.,N/A,4
FIX,2026-02-27,Auto-actualización PWA por versión: detecta cambio de versión en currentVersion; limpia automáticamente todos los caches y service workers; recarga la página; guarda versión en klarinet-version localStorage; logs informativos en consola.,N/A,5
